,Unnamed: 0,District,Latitude,longitude,ACTIVE CASES,CONFIRMED CASES,DECEASED CASES,RECOVERED CASES
0,0,Baksa,26.6935,91.5984,235,687,5,447
1,1,Barpeta,26.34142215,91.01674328,93,1121,4,1024
2,2,Biswanath,26.7773957,93.25694367,88,467,0,379
3,3,Bongaigaon,26.4800126,90.5580387,466,1303,3,834
4,4,Cachar,24.75863995,92.88166476,4585,6111,28,1498
5,5,Charaideo,27.06971635,95.06426298,5,113,3,105
6,6,Chirang,26.646423100000003,90.62415699,59,280,2,219
7,7,Darrang,26.75,92.5,225,1967,12,1730
8,8,Dhemaji,27.4668315,94.51786509,323,765,2,440
9,9,Dhubri,26.01894625,89.94188952,504,1723,4,1215
10,10,Dibrugarh,27.484459700000002,94.9019447,5623,8085,53,2409
11,11,Dima Hasao,25.40036255,93.07522923,38,237,0,199
12,12,Goalpara,26.178362300000003,90.6226683,38,658,1,568
13,13,Golaghat,26.40490095,94.03209112,954,2620,10,1656
14,14,Hailakandi,24.68845365,92.57381528,509,1632,7,1116
15,15,Hojai,26.00939085,92.84879014,478,1646,8,1160
16,16,Jorhat,26.757792499999997,94.2079645,3985,5754,17,1752
17,17,Kamrup,26.12755515,91.29987148,2496,4590,20,2074
18,18,Kamrup Metropolitan,26.13526375,91.86167063,22020,36695,76,14599
19,19,Karbi Anglong,26.0,93.5,72,632,8,552
20,20,Karimganj,24.8483482,92.33221292,222,1200,23,955
21,21,Kokrajhar,26.58687695,90.29293105,47,408,8,353
22,22,Lakhimpur,27.98506015,80.75384538,903,2040,2,1135
23,23,Majuli,27.02195285,94.32742303,84,165,1,80
24,24,Morigaon,26.257832500000003,92.3419427,79,638,2,557
25,25,Nagaon,26.30414915,92.71605974,1999,4515,10,2506
26,26,Nalbari,26.42386165,91.45122755,111,948,9,828
27,27,Sivasagar,26.9834936,94.63942259999999,46,529,10,473
28,28,Sonitpur,26.76777075,92.70140886,620,2351,4,1727
29,29,South Salmara Mankachar,25.760447199999998,89.89280611,4,51,0,47
30,30,Tinsukia,27.52016575,95.53063473,1545,3366,23,1798
31,31,Udalguri,26.776480300000003,92.10537534,88,758,4,666
32,32,West Karbi Anglong,25.85291415,92.58756812,1,39,1,37
33,33,Araria,26.26498795,87.37162648,790,4257,14,3453
34,34,Arwal,25.18077715,84.65920203,129,1525,7,1389
35,35,Aurangabad,19.877263,75.33902409999999,348,3266,8,2910
36,36,Banka,24.8655681,86.87278642,226,1982,8,1748
37,37,Begusarai,25.512719399999998,86.09057109,257,5847,23,5567
38,38,Bhagalpur,25.28669805,87.13225355,624,6577,53,5900
39,39,Bhojpur,25.25,84.25,170,3855,29,3656
40,40,Buxar,25.5620715,84.01567205,193,3199,10,2996
41,41,Darbhanga,26.08314325,86.03257097,368,2780,20,2392
42,42,East Champaran,26.646055100000005,84.9135447,520,5792,33,5239
43,43,Gaya,24.7964355,85.0079563,365,5132,44,4723
44,44,Gopalganj,26.4207265,84.37406407,519,3468,2,2947
45,45,Jamui,24.96785205,86.17351147,175,1850,6,1669
46,46,Jehanabad,25.15247135,85.00687849,222,2665,8,2435
47,47,Kaimur,24.97486435,83.57643905,120,1458,9,1329
48,48,Katihar,25.56090035,87.64765354,415,5166,11,4740
49,49,Khagaria,25.4916868,86.69910848,160,2508,9,2339
50,50,Kishanganj,26.29863795,87.95314811,289,2588,7,2292
51,51,Lakhisarai,25.1677029,86.05935924,337,2209,6,1866
52,52,Madhepura,25.9259562,86.82042961,345,2611,9,2257
53,53,Madhubani,26.350071999999997,86.22914689,461,5372,16,4895
54,54,Munger,25.22081165,86.51720367,165,2602,36,2401
55,55,Muzaffarpur,26.148658100000002,85.34001282,701,7043,29,6313
56,56,Nalanda,25.1364914,85.44365465,384,5088,37,4667
57,57,Nawada,24.818123999999997,85.51855623,240,2443,16,2187
58,58,Patna,25.609323899999996,85.1235252,1804,23993,188,22001
59,59,Purnia,25.777360100000003,87.4731227,670,5054,6,4378
60,60,Rohtas,24.93928775,84.01945449,306,4842,33,4503
61,61,Saharsa,25.83264165,86.61489283,554,4054,7,3493
62,62,Samastipur,25.7744929,85.86626813,309,3816,26,3481
63,63,Saran,25.90835495,84.78074761,472,4937,26,4439
64,64,Sheikhpura,25.12635425,85.81510621,162,1978,5,1811
65,65,Sheohar,26.49436945,85.2728056,92,929,1,836
66,66,Sitamarhi,26.5876547,85.5056744,260,3095,10,2825
67,67,Siwan,26.1310043,84.39125661,257,3306,19,3030
68,68,Supaul,23.7337,69.8597,407,3104,8,2689
69,69,Vaishali,25.75,85.416667,243,3799,27,3528
70,70,West Champaran,26.6919717,84.57969279999999,454,4199,16,3729
71,71,Chandigarh,30.7194022,76.7646552,2586,7542,89,4864
72,72,Balod,20.73218365,81.14335738,558,992,1,433
73,73,Baloda Bazar,21.57264595,82.43670692,517,1478,12,949
74,74,Balrampur,27.450480499999998,82.39541774,220,559,1,338
76,76,Bastar,19.11912825,81.82918649,639,1452,5,808
77,77,Bijapur,18.76904135,80.74151193,383,896,6,507
78,78,Bilaspur,28.868052600000002,79.29838501,2611,4143,59,1473
80,80,Dhamtari,20.7083903,81.54852530000001,508,910,2,400
81,81,Durg,21.19903535,81.39795456,3348,6085,53,2684
82,82,Gariaband,20.42857015,82.24698985,272,707,6,429
83,83,Janjgir Champa,21.967126399999998,82.66472425,1121,2280,13,1146
84,84,Jashpur,22.76678355,83.95304519,224,694,2,468
86,86,Kondagaon,19.588576899999996,81.6628742,300,645,1,344
87,87,Korba,22.51976955,82.62951462,476,1380,5,899
88,88,Koriya,23.43141435,82.31393341,449,839,7,383
89,89,Mahasamund,21.1882332,82.48484762,783,1260,15,462
90,90,Mungeli,22.0661098,81.6874282,356,672,0,316
91,91,Narayanpur,26.96392335,93.82558574,157,758,0,601
92,92,Raigarh,22.5,83.5,1548,3387,35,1804
93,93,Raipur,21.237946899999997,81.6336833,13105,21229,240,7884
94,94,Rajnandgaon,20.9727404,80.69155548,2544,4772,32,2196
95,95,Sukma,18.26654225,81.29252341,348,911,2,561
96,96,Surajpur,23.35151515,82.97290273,407,752,4,341
97,97,Surguja,22.94941835,83.16554915,501,1256,8,747
98,98,Uttar Bastar Kanker,20.1270026,80.98109349,427,1036,6,603
99,99,Gaurela Pendra Marwahi,23.0043821,82.05722809999999,102,140,0,38
100,100,Central Delhi,28.69854835,77.21939142,184,184,0,0
101,101,East Delhi,28.620476699999998,77.30918071,38,38,0,0
102,102,New Delhi,28.613895399999997,77.2090057,37,37,0,0
103,103,North Delhi,28.613895399999997,77.2090057,60,60,0,0
104,104,North East Delhi,28.72330795,77.26685651,25,25,0,0
105,105,North West Delhi,28.613895399999997,77.2090057,31,32,1,0
106,106,Shahdara,28.6733333,77.2890248,48,48,0,0
107,107,South Delhi,28.485169399999997,77.19637972,70,70,0,0
108,108,South East Delhi,28.544441100000004,77.27287302,130,130,0,0
109,109,South West Delhi,28.58644805,76.97915298,42,42,0,0
110,110,West Delhi,28.647951899999995,77.08556541,122,122,0,0
111,111,Dadra and Nagar Haveli,20.2735169,73.0043578,160,1314,1,1148
112,112,Daman,20.42000485,72.86376290000001,71,1132,1,1047
113,113,Diu,20.7137783,70.9853635,26,260,0,223
114,114,North Goa,15.60444125,74.00172406,1639,2668,65,964
115,115,South Goa,15.21961365,74.11528129999999,1978,3511,126,1407
116,116,Ahmedabad,23.0216238,72.5797068,4233,33553,1754,27566
117,117,Amreli,20.866667,70.75,369,1611,23,1219
118,118,Anand,22.5584995,72.96256290000001,87,922,16,819
119,119,Aravalli,16.629962900000002,81.6057455,106,489,24,359
120,120,Banaskantha,24.172056,72.431134,3,1375,20,1352
121,121,Bharuch,21.75,73.0,223,1837,14,1600
122,122,Bhavnagar,21.771883600000002,72.1416449,371,3403,49,2983
