,District,Latitude,longitude,ACTIVE CASES,CONFIRMED CASES,DECEASED CASES,RECOVERED CASES
0,Baksa,26.6935,91.5984,235,687,5,447
1,Barpeta,26.34142215,91.01674328474073,93,1121,4,1024
2,Biswanath,26.7773957,93.25694367444689,88,467,0,379
3,Bongaigaon,26.4800126,90.5580387,466,1303,3,834
4,Cachar,24.758639950000003,92.88166475768219,4585,6111,28,1498
5,Charaideo,27.06971635,95.06426298389661,5,113,3,105
6,Chirang,26.6464231,90.62415698729875,59,280,2,219
7,Darrang,26.75,92.5,225,1967,12,1730
8,Dhemaji,27.466831499999998,94.51786508708852,323,765,2,440
9,Dhubri,26.01894625,89.94188952461522,504,1723,4,1215
10,Dibrugarh,27.4844597,94.9019447,5623,8085,53,2409
11,Dima Hasao,25.400362549999997,93.07522922678905,38,237,0,199
12,Goalpara,26.1783623,90.6226683,38,658,1,568
13,Golaghat,26.40490095,94.03209112120626,954,2620,10,1656
14,Hailakandi,24.68845365,92.57381528240944,509,1632,7,1116
15,Hojai,26.009390850000003,92.84879014262606,478,1646,8,1160
16,Jorhat,26.7577925,94.2079645,3985,5754,17,1752
17,Kamrup,26.12755515,91.2998714797357,2496,4590,20,2074
18,Kamrup Metropolitan,26.13526375,91.86167062524619,22020,36695,76,14599
19,Karbi Anglong,26.0,93.5,72,632,8,552
20,Karimganj,24.8483482,92.33221292310328,222,1200,23,955
21,Kokrajhar,26.58687695,90.29293105124796,47,408,8,353
22,Lakhimpur,27.985060150000002,80.75384538357649,903,2040,2,1135
23,Majuli,27.021952849999998,94.32742302965544,84,165,1,80
24,Morigaon,26.2578325,92.3419427,79,638,2,557
25,Nagaon,26.30414915,92.71605974430346,1999,4515,10,2506
26,Nalbari,26.42386165,91.4512275462117,111,948,9,828
27,Sivasagar,26.9834936,94.6394226,46,529,10,473
28,Sonitpur,26.767770749999997,92.70140885850532,620,2351,4,1727
29,South Salmara Mankachar,25.7604472,89.8928061082699,4,51,0,47
30,Tinsukia,27.52016575,95.5306347312879,1545,3366,23,1798
31,Udalguri,26.776480300000003,92.10537533897156,88,758,4,666
32,West Karbi Anglong,25.85291415,92.58756812404593,1,39,1,37
33,Araria,26.26498795,87.37162648106798,790,4257,14,3453
34,Arwal,25.180777149999997,84.65920203021554,129,1525,7,1389
35,Aurangabad,19.877263,75.3390241,348,3266,8,2910
36,Banka,24.8655681,86.87278642295597,226,1982,8,1748
37,Begusarai,25.5127194,86.09057109140021,257,5847,23,5567
38,Bhagalpur,25.28669805,87.13225355111148,624,6577,53,5900
39,Bhojpur,25.25,84.25,170,3855,29,3656
40,Buxar,25.562071500000002,84.01567204651289,193,3199,10,2996
41,Darbhanga,26.08314325,86.03257096612822,368,2780,20,2392
42,East Champaran,26.6460551,84.9135447,520,5792,33,5239
43,Gaya,24.7964355,85.0079563,365,5132,44,4723
44,Gopalganj,26.4207265,84.37406407415165,519,3468,2,2947
45,Jamui,24.967852049999998,86.17351147289283,175,1850,6,1669
46,Jehanabad,25.15247135,85.00687848982191,222,2665,8,2435
47,Kaimur,24.974864349999997,83.57643904700731,120,1458,9,1329
48,Katihar,25.560900349999997,87.64765353997149,415,5166,11,4740
49,Khagaria,25.4916868,86.69910848212217,160,2508,9,2339
50,Kishanganj,26.29863795,87.95314810923409,289,2588,7,2292
51,Lakhisarai,25.167702900000002,86.05935924304018,337,2209,6,1866
52,Madhepura,25.9259562,86.82042961035677,345,2611,9,2257
53,Madhubani,26.350071999999997,86.22914688962271,461,5372,16,4895
54,Munger,25.22081165,86.51720367235285,165,2602,36,2401
55,Muzaffarpur,26.1486581,85.34001282479626,701,7043,29,6313
56,Nalanda,25.1364914,85.44365464855682,384,5088,37,4667
57,Nawada,24.818123999999997,85.5185562336921,240,2443,16,2187
58,Patna,25.6093239,85.1235252,1804,23993,188,22001
59,Purnia,25.7773601,87.4731227,670,5054,6,4378
60,Rohtas,24.93928775,84.01945448852067,306,4842,33,4503
61,Saharsa,25.83264165,86.61489283342814,554,4054,7,3493
62,Samastipur,25.7744929,85.86626813370123,309,3816,26,3481
63,Saran,25.90835495,84.78074760594323,472,4937,26,4439
64,Sheikhpura,25.12635425,85.81510620944194,162,1978,5,1811
65,Sheohar,26.49436945,85.27280559513999,92,929,1,836
66,Sitamarhi,26.5876547,85.5056744,260,3095,10,2825
67,Siwan,26.1310043,84.39125660595198,257,3306,19,3030
68,Supaul,23.7337,69.8597,407,3104,8,2689
69,Vaishali,25.75,85.416667,243,3799,27,3528
70,West Champaran,26.6919717,84.5796928,454,4199,16,3729
71,Chandigarh,30.7194022,76.7646552,2586,7542,89,4864
72,Balod,20.73218365,81.14335738365043,558,992,1,433
73,Baloda Bazar,21.572645950000002,82.43670691696435,517,1478,12,949
74,Balrampur,27.4504805,82.39541774073132,220,559,1,338
76,Bastar,19.11912825,81.82918648971713,639,1452,5,808
77,Bijapur,18.769041350000002,80.74151192966231,383,896,6,507
78,Bilaspur,28.8680526,79.29838501460121,2611,4143,59,1473
80,Dhamtari,20.7083903,81.5485253,508,910,2,400
81,Durg,21.19903535,81.3979545573657,3348,6085,53,2684
82,Gariaband,20.42857015,82.24698984817437,272,707,6,429
83,Janjgir Champa,21.967126399999998,82.6647242496104,1121,2280,13,1146
84,Jashpur,22.76678355,83.95304518953317,224,694,2,468
86,Kondagaon,19.5885769,81.6628742,300,645,1,344
87,Korba,22.51976955,82.62951462416818,476,1380,5,899
88,Koriya,23.431414349999997,82.31393341197054,449,839,7,383
89,Mahasamund,21.1882332,82.48484762499999,783,1260,15,462
90,Mungeli,22.0661098,81.6874282,356,672,0,316
91,Narayanpur,26.96392335,93.82558573585581,157,758,0,601
92,Raigarh,22.5,83.5,1548,3387,35,1804
93,Raipur,21.2379469,81.6336833,13105,21229,240,7884
94,Rajnandgaon,20.9727404,80.69155548263583,2544,4772,32,2196
95,Sukma,18.26654225,81.29252341475065,348,911,2,561
96,Surajpur,23.35151515,82.97290272665015,407,752,4,341
97,Surguja,22.94941835,83.1655491457949,501,1256,8,747
98,Uttar Bastar Kanker,20.1270026,80.98109349472911,427,1036,6,603
99,Gaurela Pendra Marwahi,23.0043821,82.0572281,102,140,0,38
100,Central Delhi,28.69854835,77.21939141568413,184,184,0,0
101,East Delhi,28.6204767,77.30918071344418,38,38,0,0
102,New Delhi,28.6138954,77.2090057,37,37,0,0
103,North Delhi,28.6138954,77.2090057,60,60,0,0
104,North East Delhi,28.72330795,77.26685650778668,25,25,0,0
105,North West Delhi,28.6138954,77.2090057,31,32,1,0
106,Shahdara,28.6733333,77.2890248,48,48,0,0
107,South Delhi,28.485169399999997,77.19637972381611,70,70,0,0
108,South East Delhi,28.5444411,77.27287301731174,130,130,0,0
109,South West Delhi,28.58644805,76.97915298462692,42,42,0,0
110,West Delhi,28.6479519,77.08556541088615,122,122,0,0
111,Dadra and Nagar Haveli,20.2735169,73.0043578,160,1314,1,1148
112,Daman,20.42000485,72.86376290300566,54,1138,1,1070
113,Diu,20.7137783,70.9853635,26,260,0,223
114,North Goa,15.60444125,74.00172406307475,1639,2668,65,964
115,South Goa,15.21961365,74.1152813019196,1978,3511,126,1407
116,Ahmedabad,23.0216238,72.5797068,4233,33553,1754,27566
117,Amreli,20.866667,70.75,369,1611,23,1219
118,Anand,22.5584995,72.9625629,87,922,16,819
119,Aravalli,16.6299629,81.6057455,106,489,24,359
120,Banaskantha,24.172056,72.431134,3,1375,20,1352
121,Bharuch,21.75,73.0,223,1837,14,1600
122,Bhavnagar,21.7718836,72.1416449,371,3403,49,2983
123,Botad,22.1686,71.6685,127,603,5,471
124,Chhota Udaipur,22.3048651,74.0126114,86,410,2,322
125,Dahod,22.8358542,74.2556782,303,1409,6,1100
126,Dang,20.8254,73.7007,26,78,0,52
127,Devbhumi Dwarka,22.2471009,68.9742446,69,413,4,340
128,Gandhinagar,23.2232877,72.6492267,453,2882,63,2366
129,Gir Somnath,20.8907001,70.4025266,184,1150,16,950
130,Jamnagar,22.4732415,70.0552102,325,4048,29,3694
131,Junagadh,21.5174104,70.4642754,278,2155,29,1848
132,Kheda,22.75,72.833333,69,1087,16,1002
133,Kutch,23.7337,69.8597,379,1575,31,1165
134,Mahisagar,23.1916967,73.6626352964019,100,729,3,626
135,Mehsana,23.588,72.3693,601,1906,29,1276
136,Morbi,22.8176662,70.8345928,282,1235,15,938
137,Narmada,22.6737188,77.5795269,100,764,0,664
138,Navsari,20.952407,72.9323831,120,1030,6,904
139,Panchmahal,28.6271026,77.31016493548915,371,1824,17,1436
140,Patan,23.77405735,71.68373465668734,132,1301,39,1130
141,Porbandar,21.6409,69.611,12,370,4,354
142,Rajkot,22.3051991,70.8028335,2080,6546,112,4354
143,Sabarkantha,24.0294885,73.0459884,187,852,10,655
144,Surat,21.1702,72.8311,2605,23985,686,20694
145,Surendranagar,22.75,71.666667,378,1410,11,1021
146,Tapi,21.1787195,75.44245,10,454,4,440
147,Vadodara,22.2973142,73.1942567,1457,9694,146,8091
148,Valsad,20.4324018,73.1411715553577,77,1074,10,987
149,Bilaspur,28.8680526,79.29838501460121,183,496,1,312
150,Chamba,32.5534,76.1258,178,627,5,440
151,Hamirpur,25.75,80.0,169,734,5,560
152,Kangra,32.166667,76.25,570,1433,14,849
153,Kinnaur,31.586346,78.3968441,44,121,0,77
154,Kullu,32.00186325,77.37899639741332,119,383,1,263
155,Lahaul and Spiti,32.5038495,77.58227188236428,11,19,0,8
156,Mandi,33.868829899999994,74.31880472886633,369,763,8,386
157,Shimla,31.1041526,77.1709729,242,583,11,323
158,Sirmaur,30.75,77.5,286,1195,4,905
159,Solan,30.92589585,77.08200509063624,709,2072,15,1345
160,Una,31.4685,76.2708,316,803,8,479
161,Ambala,30.3843674,76.770421,1152,5641,57,4432
162,Bhiwani,28.7931703,76.1391283,337,1927,19,1571
163,Charkhi Dadri,28.5919933,76.2719817,98,351,1,252
164,Faridabad,28.402837,77.3085626,1767,15562,188,13607
165,Fatehabad,27.02766825,78.2074341134146,535,1475,21,919
166,Gurugram,28.4646148,77.0299194,2167,14924,145,12612
167,Hisar,29.168807,75.7461103,904,3610,30,2676
169,Jhajjar,28.5336844,76.68981212035648,463,1845,19,1363
170,Jind,29.5,76.25,550,1253,12,691
171,Kaithal,29.74477075,76.35092772284784,502,1722,21,1199
172,Karnal,29.6803266,76.9896254,1743,5165,65,3357
173,Kurukshetra,29.9693747,76.8482787,1574,3470,61,1835
174,Mahendragarh,28.25,76.166667,532,2451,3,1916
175,Nuh,28.097345150000002,77.05085582101852,164,954,16,774
176,Palwal,28.12502575,77.35831300773046,173,1903,14,1716
177,Panchkula,30.616216450000003,77.04197804321875,1284,3990,41,2665
178,Panipat,29.3912753,76.9771675,1737,5586,59,3790
179,Rewari,28.1956468,76.6165179,623,4429,26,3780
180,Rohtak,28.9010899,76.5801935,850,3978,44,3084
181,Sirsa,29.583333,75.083333,843,2308,33,1432
182,Sonipat,29.0033144,77.0167323,837,5830,41,4952
183,Yamunanagar,30.2112003,77.28638972360895,611,2741,40,2090
184,Bokaro,23.699127949999998,85.99106894165021,449,3050,19,2582
185,Chatra,24.20162495,84.87817691941733,275,1005,5,725
186,Deoghar,24.4766423,86.60673245386945,258,1734,14,1462
187,Dhanbad,23.7952809,86.4309638,885,3938,44,3009
188,Dumka,24.2538512,87.30064714192224,210,803,6,587
189,East Singhbhum,22.5,85.5,3137,10545,238,7170
190,Garhwa,24.15529035,83.82522584408349,132,1485,7,1346
191,Giridih,24.25,85.916667,370,2597,9,2218
192,Godda,24.74334305,87.29285061796858,93,1000,4,903
193,Gumla,23.0916741,84.5738480719802,408,1232,2,822
194,Hazaribagh,23.9675151,85.43884568595615,769,2571,21,1781
195,Jamtara,23.9232867,86.77353493891458,51,542,1,490
196,Khunti,23.10018105,85.3454593617985,283,1094,3,808
197,Koderma,24.4931239,85.55608107203881,677,2126,17,1432
198,Latehar,23.74186545,84.51301366522105,219,1194,1,974
199,Lohardaga,23.46920055,84.73568423071751,129,776,5,642
200,Pakur,24.6379064,87.8556962,67,574,1,506
201,Palamu,23.916667,84.083333,153,2015,7,1855
202,Ramgarh,24.517725249999998,87.26258572061664,958,2769,14,1797
203,Ranchi,23.3700354,85.3250132,3638,12793,89,9066
204,Sahibganj,25.2820998,87.61850784289338,178,1021,9,834
205,Saraikela-Kharsawan,22.7464225,85.91689291046393,778,1982,6,1198
206,Simdega,22.6664325,84.5502679119221,323,1299,4,972
207,West Singhbhum,22.5,85.5,404,2315,16,1895
208,Anantnag,33.746109950000005,75.18544753143254,705,2895,54,2136
209,Bandipora,34.4563234,74.68249997667994,909,2838,28,1901
210,Baramulla,34.205005650000004,74.36221081111597,951,3479,113,2415
211,Budgam,34.04796585,74.7441397838328,1357,3741,71,2313
212,Doda,33.1774307,75.56752281893789,412,826,9,405
213,Ganderbal,34.2880611,75.03058171219789,576,2103,25,1502
214,Jammu,32.7185614,74.8580917,5570,8352,88,2694
215,Kathua,32.583333,75.5,435,1333,12,886
216,Kishtwar,33.2761171,75.8169238781403,335,610,2,273
217,Kulgam,33.669800550000005,75.01480232217389,135,2091,40,1916
218,Kupwara,34.611023599999996,74.238478667319,979,2846,56,1811
219,Mirpur,33.1486351,73.7482102,0,0,0,0
220,Muzaffarabad,34.3734751,73.4702407,0,0,0,0
221,Pulwama,33.89829355,74.89634093792017,456,3164,60,2648
222,Punch,33.702939,74.24990151547188,486,900,6,408
223,Rajouri,33.3772495,74.3132332,586,1434,18,830
224,Ramban,33.211637100000004,75.20509890752818,171,825,1,653
225,Reasi,33.069103150000004,74.8378698208889,230,588,3,355
226,Samba,32.553,75.1108,438,1066,8,620
228,Srinagar,34.0747444,74.8204443,1959,11678,251,9468
229,Udhampur,33.0,75.166667,635,1454,4,815
230,Bagalkote,16.1853166,75.6967919,1223,8058,85,6750
231,Ballari,15.2485413,76.8323648,4492,26152,338,21322
232,Belagavi,15.8572666,74.5069343,3131,16051,237,12683
233,Bengaluru Rural,13.18077825,77.34174236923371,1387,6359,56,4916
234,Bengaluru Urban,12.94514225,77.55364499971128,40929,167183,2391,123862
235,Bidar,17.9104,77.5199,577,5362,143,4638
236,Chamarajanagara,11.9238058,76.9393558,360,2942,52,2519
237,Chikkaballapura,13.4358702,77.7312434,1003,5601,70,4527
238,Chikkamagaluru,13.5,75.5,1451,5900,98,4351
239,Chitradurga,14.2266443,76.4005122,1188,4702,33,3481
240,Dakshina Kannada,12.82225975,75.22560110530964,3705,16959,437,12815
241,Davanagere,14.4661266,75.9206361,2557,12753,225,9971
242,Dharwad,15.4540505,75.0066516,2349,14309,415,11545
243,Gadag,15.4263647,75.6300786,1177,7359,105,6077
244,Hassan,13.0070817,76.0992703,2834,11530,231,8465
245,Haveri,14.7874825,75.3996731,1551,6402,126,4725
246,Kalaburagi,17.166667,77.083333,2318,14217,242,11657
247,Kodagu,12.3822808,75.66523533586208,310,1908,26,1572
248,Kolar,13.1369996,78.1339606,756,4409,73,3580
249,Koppal,15.3484144,76.1547421,1746,8802,186,6870
250,Mandya,12.5238888,76.8961961,2215,8015,86,5714
251,Mysuru,12.3051828,76.6553609,7020,25086,576,17490
252,Raichur,16.083333,77.166667,1563,9227,119,7545
253,Ramanagara,12.7252766,77.2804797,622,4180,38,3520
254,Shivamogga,13.9311723,75.569737,3094,11917,197,8626
255,Tumakuru,13.3400771,77.1006208,2428,8892,185,6279
256,Udupi,13.3419169,74.7473232,1902,13920,129,11889
257,Uttara Kannada,14.724474149999999,74.64223734496612,1880,6812,80,4852
258,Vijayapura,16.666667,75.916667,632,7720,133,6955
259,Yadgir,16.7689044,77.1380381,1415,6788,46,5327
260,Alappuzha,9.48870715,76.41521381074048,1929,7671,18,5718
261,Ernakulam,9.9825665,76.2990313,2867,8797,46,5876
262,Idukki,9.8497872,76.9797914,482,2233,3,1747
263,Kannur,11.8762254,75.3738043,1930,5832,36,3864
264,Kasaragod,12.421713050000001,75.19044977266321,2155,7069,37,4874
265,Kollam,8.8879509,76.5955013,2268,6715,26,4418
266,Kottayam,9.6287383,76.64553257124857,2109,5998,3,3886
267,Kozhikode,11.2586082,75.7788735,2172,8229,42,6010
268,Malappuram,11.10684475,76.10995510466662,2782,12357,35,9534
269,Palakkad,10.7691989,76.6512469,1298,6075,7,4768
270,Pathanamthitta,9.27854005,76.97405942942743,1266,4684,3,3413
271,Thiruvananthapuram,8.5241122,76.9360573,5013,20878,140,15701
272,Thrissur,10.5256264,76.2132542,2061,6591,25,4501
273,Wayanad,11.715219000000001,76.12690294658198,472,2011,5,1534
274,Kargil,34.420542600000005,75.6467756307598,376,1456,23,1057
275,Leh,34.1642029,77.5848133,465,1838,16,1357
276,Lakshadweep,10.8832771,72.8171069,0,0,0,0
277,Ahmednagar,19.162772500000003,74.85802430085195,6278,28205,423,21504
278,Akola,20.7618624,77.19217162524623,1568,5160,175,3416
279,Amravati,21.15454115,77.64429617998744,2493,8051,176,5382
280,Aurangabad,19.877263,75.3390241,6468,28737,753,21516
281,Beed,18.9904059,75.7542291,2024,6620,184,4412
282,Bhandara,27.604285400000002,84.64526207773613,1700,2747,32,1015
283,Buldhana,20.583333,76.416667,1653,5022,92,3277
284,Chandrapur,26.21231825,91.89620684881584,2823,5345,52,2470
285,Dhule,21.13050145,74.47891180551228,2343,10678,278,8055
286,Gadchiroli,19.759070350000002,80.16228072580182,255,1162,2,905
287,Gondia,21.455228,80.1962729,1389,3038,31,1618
288,Hingoli,19.54140965,77.17376601317515,502,1991,44,1445
289,Jalgaon,20.84351185,75.52592658756026,9126,36009,1010,25873
290,Jalna,19.9182328,75.8686246900443,1833,5847,167,3847
291,Kolhapur,16.7028412,74.2405329,9193,32137,914,22030
292,Latur,18.35146855,76.7551212230513,4400,12154,346,7408
293,Mumbai,18.9387711,72.8353355,29176,167656,8109,130016
294,Mumbai Suburban,19.13095765,72.88593095460952,0,0,0,0
295,Nagpur,21.1498134,79.0820556,21727,48903,1283,25889
296,Nanded,19.17257215,77.29141237169956,5707,11192,301,5184
